ID,BRANCH,ADDRESS,CITY,POSTCODE,PHONE,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,LATITUDE,LONGITUDE,LINK,NYU 
81,Cypress Hills Library,1197 Sutter Ave. at Crystal St.,Brooklyn,11208,718.277.6004,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.672461600000,-73.874045900000,https://www.bklynlibrary.org/locations/cypress-hills,0
82,DeKalb Library,790 Bushwick Ave. at DeKalb Ave.,Brooklyn,11221,718.455.3898,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.694673900000,-73.928512600000,https://www.bklynlibrary.org/locations/dekalb,0
83,Dyker Library,8202 13th Ave. (@ 82nd St.),Brooklyn,11228,718.748.6261,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.616345000000,-74.011543000000,https://www.bklynlibrary.org/locations/dyker,0
84,East Flatbush Library,9612 Church Ave. at. Rockaway Pkwy.,Brooklyn,11212,718.922.0927,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.655630900000,-73.915057000000,https://www.bklynlibrary.org/locations/east-flatbush,0
85,Eastern Parkway Library,1044 Eastern Pkwy. at Schenectady Ave.,Brooklyn,11213,718.953.4225,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.668486100000,-73.933640000000,https://www.bklynlibrary.org/locations/eastern-parkway,0
86,Flatbush Library,22 Linden Blvd. at Flatbush Ave.,Brooklyn,11226,718.856.0813,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.651921600000,-73.958350100000,https://www.bklynlibrary.org/locations/flatbush,0
87,Flatlands Library,2065 Flatbush Ave. at Ave. P,Brooklyn,11234,718.253.4409,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.619787800000,-73.933188400000,https://www.bklynlibrary.org/locations/flatlands,0
88,Fort Hamilton Library,9424 Fourth Ave.,Brooklyn,11209,718.748.6919,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.616363800000,-74.031267300000,https://www.bklynlibrary.org/locations/fort-hamilton,0
89,Gerritsen Beach Library,2808 Gerritsen Ave.,Brooklyn,11229,718.368.1435,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.591429200000,-73.923943500000,https://www.bklynlibrary.org/locations/gerritsen-beach,0
90,Gravesend Library,303 Ave. X at West. 2nd St.,Brooklyn,11223,718.382.5792,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.590383800000,-73.971705300000,https://www.bklynlibrary.org/locations/gravesend,0
91,Greenpoint Library,107 Norman Ave. at Leonard St.,Brooklyn,11222,718.349.8504,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.725983000000,-73.950714300000,https://www.bklynlibrary.org/locations/greenpoint,0
92,Highlawn Library,1664 W. 13th St. at Kings Highway,Brooklyn,11223,718.234.7208,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.605667100000,-73.986224100000,https://www.bklynlibrary.org/locations/highlawn,0
93,Homecrest Library,2525 Coney Island Ave. at Ave. V,Brooklyn,11223,718.382.5924,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.595206500000,-73.960475000000,https://www.bklynlibrary.org/locations/homecrest,0
94,Jamaica Bay Library,9727 Seaview Ave. at E. 98th St. near Rockaway Pkwy.,Brooklyn,11236,718.241.3571,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.634492800000,-73.889279700000,https://www.bklynlibrary.org/locations/jamaica-bay,0
95,Kensington Library,4207 18th Avenue,Brooklyn,11218,718.436.0545,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.631301900000,-73.975401500000,https://www.bklynlibrary.org/locations/kensington,0
96,Kings Bay Library,3650 Nostrand Ave. (near Ave. W),Brooklyn,11229,718.368.1709,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.594795500000,-73.941127100000,https://www.bklynlibrary.org/locations/kings-bay,0
97,Kings Highway Library,2115 Ocean Ave.,Brooklyn,11229,718.375.3037,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.610293000000,-73.953266400000,https://www.bklynlibrary.org/locations/kings-highway,0
98,Leonard Library,81 Devoe St. at Leonard St.,Brooklyn,11211,718.486.6006,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.713617300000,-73.947964700000,https://www.bklynlibrary.org/locations/leonard,0
99,Macon Library,361 Lewis Ave. at Macon St.,Brooklyn,11233,718.573.5606,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,1:00 PM - 5:00 PM,40.683028300000,-73.934891600000,https://www.bklynlibrary.org/locations/macon,0
100,Mapleton Library,1702 60th Street,Brooklyn,11204,718.256.2117,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,1:00 PM - 5:00 PM,40.623159200000,-73.989456000000,https://www.bklynlibrary.org/locations/mapleton,0
101,Marcy Library,617 DeKalb Ave. at Nostrand Ave.,Brooklyn,11216,718.935.0032,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.691391400000,-73.951226700000,https://www.bklynlibrary.org/locations/marcy,0
102,McKinley Park Library,6802 Fort Hamilton Pkwy (at 68th St.),Brooklyn,11219,718.748.8001,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.629175300000,-74.011876400000,https://www.bklynlibrary.org/locations/mckinley-park,0
103,Midwood Library,975 East 16th St. at Avenue J,Brooklyn,11230,718.252.0967,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM, ,1:00 PM - 5:00 PM,40.625907000000,-73.960400500000,https://www.bklynlibrary.org/locations/midwood,0
104,Mill Basin Library,2385 Ralph Ave (near Ave N),Brooklyn,11234,718.241.3973,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.619921200000,-73.917309900000,https://www.bklynlibrary.org/locations/mill-basin,0
105,New Lots Library,665 New Lots Ave. at Barbey St.,Brooklyn,11207,718.649.0311,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,1:00 PM - 5:00 PM,40.665455900000,-73.884829000000,https://www.bklynlibrary.org/locations/new-lots,0
106,New Utrecht Library,1743 86th St. at Bay 17th St.,Brooklyn,11214,718.236.4086,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.608043900000,-74.003392800000,https://www.bklynlibrary.org/locations/new-utrecht,0
107,Pacific Library,25 Fourth Ave. at Pacific St.,Brooklyn,11217,718.638.1531,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.683405000000,-73.978537000000,https://www.bklynlibrary.org/locations/pacific,0
108,Paerdegat Library,850 E. 59th St. at Paerdegat Ave. South,Brooklyn,11234,718.241.3994,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.632615200000,-73.919667200000,https://www.bklynlibrary.org/locations/paerdegat,0
109,Park Slope Library,431 6th Ave. at 9th St.,Brooklyn,11215,718.832.1853,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.668217400000,-73.983416200000,https://www.bklynlibrary.org/locations/park-slope,0
110,Red Hook Library,7 Wolcott St,Brooklyn,11231,718.935.0203,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.675310100000,-74.010281800000,https://www.bklynlibrary.org/locations/red-hook,0
111,Rugby Library,1000 Utica Ave.,Brooklyn,11203,718.566.0054,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.648678300000,-73.930050100000,https://www.bklynlibrary.org/locations/rugby,0
112,Ryder Library,5902 23rd Ave.,Brooklyn,11204,718.331.2962,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM, ,1:00 PM - 5:00 PM,40.615897700000,-73.975682600000,https://www.bklynlibrary.org/locations/ryder,0
113,Saratoga Library,8 Thomas S. Boyland St. at Macon St.,Brooklyn,11233,718.573.5224,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.684875000000,-73.915123900000,https://www.bklynlibrary.org/locations/saratoga,0
114,Sheepshead Bay Library,2636 E. 14th St. at Ave. Z,Brooklyn,11235,718.368.1815,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.586965100000,-73.955407100000,https://www.bklynlibrary.org/locations/sheepshead-bay,0
115,Spring Creek Library,12143 Flatlands Ave. at New Jersey Ave.,Brooklyn,11207,718.257.6571,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.653263700000,-73.885964100000,https://www.bklynlibrary.org/locations/spring-creek,0
116,Stone Avenue Library,581 Mother Gaston Boulevard,Brooklyn,11212,718.485.8347,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.664473800000,-73.905160700000,https://www.bklynlibrary.org/locations/stone-avenue,0
117,Sunset Park Library,5108 4th Ave. at 51st St.,Brooklyn,11220,718.567.2806,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.645923100000,-74.013658200000,https://www.bklynlibrary.org/locations/sunset-park,0
118,Ulmer Park Library,2602 Bath Ave at 26th Ave,Brooklyn,11214,718.265.3443,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.592635300000,-73.988653900000,https://www.bklynlibrary.org/locations/ulmer-park,0
119,Walt Whitman Library,93 Saint Edwards Street,Brooklyn,11205,718.935.0244,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.694463200000,-73.977726700000,https://www.bklynlibrary.org/locations/walt-whitman,0
120,Washington Irving Library,360 Irving Ave. (at Woodbine St.),Brooklyn,11237,718.628.8378,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.697511100000,-73.912229800000,https://www.bklynlibrary.org/locations/washington-irving,0
121,Williamsburgh Library,240 Division Ave. at Marcy Ave. ,Brooklyn,11211,718.302.3485,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.706870800000,-73.957264300000,https://www.bklynlibrary.org/locations/williamsburgh,0
122,Windsor Terrace Library,160 E. 5th St. at Ft. Hamilton Pkwy.,Brooklyn,11218,718.686.9707,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.648730900000,-73.976531700000,https://www.bklynlibrary.org/locations/windsor-terrace,0
123,Elmer Holmes Bobst Library,70 Washington Square S,New York,10012,(212) 998-2500,12:00 AM - 12:00 PM,12:00 AM - 12:00 PM,12:00 AM - 12:00 PM,12:00 AM - 12:00 PM,12:00 AM - 12:00 PM,12:00 AM - 12:00 PM,12:00 AM - 12:00 PM,40.7294,-73.9973,https://www.nyu.edu/academics/libraries/elmer-holmes-bobstlibrary.html,1
124,NYU School of Law Library,40 Washington Square S,New York,10012,(212) 998-6312,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,40.7305,-73.9995,https://www.nyu.edu/academics/libraries/nyu-law-library.html,1
125,Sid and Ruth Lapidus Health Sciences Library,550 1st Ave.,New York,10016,(212) 263-5395,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,,,https://www.nyu.edu/academics/libraries/sid-ruth-lapidus-library.html,1
126,Bern Dibner Library of Science and Technology,5 MetroTech Center #3840,Brooklyn,11201,(646) 997-3530,7:00 AM - 1:00 AM,7:00 AM - 1:00 AM,7:00 AM - 1:00 AM,7:00 AM - 1:00 AM,7:00 AM - 1:00 AM,7:00 AM - 1:00 AM,7:00 AM - 1:00 AM,40.6947,-73.9857,https://library.nyu.edu/locations/bern-dibner-library/,1
127,Courant Institute of Mathematical Sciences Library,251 Mercer St,New York,10012,(212) 998-3315,9:00 AM - 9:30 PM,9:00 AM - 9:30 PM,9:00 AM - 9:30 PM,9:00 AM - 9:30 PM,9:00 AM - 7:00 PM,10:00 AM - 6:00 PM,,40.72858,-73.99552,https://cims.nyu.edu/dynamic/library/about/,1
128,Institute for the Study of the Ancient World Library,15 East 84th Street,New York,10028,(212) 992-7824,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,,,https://library.nyu.edu/locations/institute-for-the-study-of-the-ancient-world-library/,1
129,Jack Brause Library (School for Professional Studies),"11 West 42nd Street, Suite 510",New York,10036,(212) 992-3627,8:00 AM - 9:45 PM,8:00 AM - 9:45 PM,8:00 AM - 9:45 PM,8:00 AM - 9:45 PM,8:00 AM - 9:45 PM,8:00 AM - 9:45 PM,,,,https://library.nyu.edu/locations/jack-brause-library/,1
130,NYU Abu Dhabi Library,"Saadiyat Island Abu Dhabi, UAE Campus Center (C2)",,,971 02-628-5544,,,,,,,,,,https://library.nyu.edu/locations/nyu-abu-dhabi-library/,1
131,NYU Shanghai Library,1555 Century Ave Shanghai,PR China,200122,(86) 21 2059-5614,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,,,https://library.nyu.edu/locations/nyu-shanghai-library/,1
132,Stephen Chan Library (Institute of Fine Arts),1 East 78th Street,New York,10075,(212) 992-5825,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,,,https://library.nyu.edu/locations/institute-of-fine-arts-library/,1
